product,title,rating,body
"PrettyKrafts L1113 Laundry Basket for Clothes, Toy Storage Box with Lid & Handles, Toy Storage Box, 75 LTR,Mushroom Print,...","5.0 out of 5 stars
Pretty craft laundry  bag",5.0,"Excellent  and pretty, lot of space
Read more"
"PrettyKrafts L1113 Laundry Basket for Clothes, Toy Storage Box with Lid & Handles, Toy Storage Box, 75 LTR,Mushroom Print,...","4.0 out of 5 stars
Good",4.0,"Product is good. But the bag is so delicate. Chance to tear the outer cover.
Read more"
"PrettyKrafts L1113 Laundry Basket for Clothes, Toy Storage Box with Lid & Handles, Toy Storage Box, 75 LTR,Mushroom Print,...","5.0 out of 5 stars
Very Useful",5.0,"Good Laundry Bag. Before buying consider the capacity. 75 Liter is sufficient for family of 3 to 4 people.
Read more"
"PrettyKrafts L1113 Laundry Basket for Clothes, Toy Storage Box with Lid & Handles, Toy Storage Box, 75 LTR,Mushroom Print,...","3.0 out of 5 stars
Ok Product!",3.0,"I am using this box from last one year, does it job, but you have to very careful while handling it as it made of Paper box, chances of getting broken is very easy if you not handle it properly. Outside cover is beautiful. Overall happy with the purchase.
Read more"
"PrettyKrafts L1113 Laundry Basket for Clothes, Toy Storage Box with Lid & Handles, Toy Storage Box, 75 LTR,Mushroom Print,...","5.0 out of 5 stars
Durable and big in size",5.0,"Happy with the product, U can go for it without a second thought.
Read more"
"PrettyKrafts L1113 Laundry Basket for Clothes, Toy Storage Box with Lid & Handles, Toy Storage Box, 75 LTR,Mushroom Print,...","1.0 out of 5 stars
Smells too bad",1.0,"Waste of money due to that bad smell I wash with hands using comfort detergent. After a wash also this bag smells too bad..Made up with the cheap quality.. Don't buy this useless product
Read more"
"PrettyKrafts L1113 Laundry Basket for Clothes, Toy Storage Box with Lid & Handles, Toy Storage Box, 75 LTR,Mushroom Print,...","4.0 out of 5 stars
stylish and functional laundry storage solution!""",4.0,"I'm using the PrettyKrafts  as a laundry bag, and it's perfect for the job! The spacious design accommodates a lot of clothes, and the lid keeps everything neat and tidy. The mushroom print adds a charming touch to my bedroom. Highly recommended for anyone looking for a stylish and functional laundry storage solution!""
Read more"
"PrettyKrafts L1113 Laundry Basket for Clothes, Toy Storage Box with Lid & Handles, Toy Storage Box, 75 LTR,Mushroom Print,...","5.0 out of 5 stars
Good quality",5.0,"Much stuff can arrange in one place
Read more"
"Bajaj Rex 750W Mixer Grinder with Nutri Pro Feature, 4 Jars, White","5.0 out of 5 stars
Very good product",5.0,"Thanks to amazon I have received the product very well, the packing is also fine, only the packing of Amazon was not there and every spare of the product is correct, after running the machine, the noise is also very medium looking very good .
Read more"
"Bajaj Rex 750W Mixer Grinder with Nutri Pro Feature, 4 Jars, White","4.0 out of 5 stars
Best one",4.0,"Very good product it's work Very good and perfect mixer for kitchen
Read more"
