product,title,rating,body
"Powerplus Steel Air Pump for (Cycles,Bikes,Cars,mopeds etc) with Needle","5.0 out of 5 stars
Good quality made in India cycle pump",5.0,"Good quality cycle pump made of metal. Feels sturdy. The valve attachment part is plastic but it seems to be sturdy as well. Cable is braided. They also provide an additional valve for use with toys and balls (sports variety)
Read more"
"Powerplus Steel Air Pump for (Cycles,Bikes,Cars,mopeds etc) with Needle","4.0 out of 5 stars
works as described",4.0,"it is rigid and durable. i have used it for my bike as well as car. works very well.
Read more"
"Powerplus Steel Air Pump for (Cycles,Bikes,Cars,mopeds etc) with Needle","3.0 out of 5 stars
Worst condition",3.0,"Not good and bottom of the pipe is broken after two uses
Read more"
"Powerplus Steel Air Pump for (Cycles,Bikes,Cars,mopeds etc) with Needle","5.0 out of 5 stars
It's a high pressure bicycle pump and functionally very efficient.",5.0,"It's actually a multi purpose pump as you may use it for bicycle and bike tyres as well.It's strong and sturdy in design and build.Overall, serves it's purpose very well.
Read more"
"Powerplus Steel Air Pump for (Cycles,Bikes,Cars,mopeds etc) with Needle","1.0 out of 5 stars
Poor quality",1.0,"Not working, very poor quality. Don't purchase
Read more"
"Powerplus Steel Air Pump for (Cycles,Bikes,Cars,mopeds etc) with Needle","4.0 out of 5 stars
Good",4.0,"Good easy to handle
Read more"
"Powerplus Steel Air Pump for (Cycles,Bikes,Cars,mopeds etc) with Needle","5.0 out of 5 stars
Air pump use full",5.0,"It may be chang design  sturture  add feature make it useful
Read more"
"Powerplus Steel Air Pump for (Cycles,Bikes,Cars,mopeds etc) with Needle","5.0 out of 5 stars
Good purchase",5.0,"Took me little time to understand how it works but totally satisfied.
Read more"
"Ambi Pur Car Air Freshener Refill Aerosol, Aqua, 7.5 ml","5.0 out of 5 stars
Decent product.",5.0,"Decent product.
Read more"
"Ambi Pur Car Air Freshener Refill Aerosol, Aqua, 7.5 ml","4.0 out of 5 stars
Good",4.0,"Average quality.
Read more"
"Ambi Pur Car Air Freshener Refill Aerosol, Aqua, 7.5 ml","5.0 out of 5 stars
Good one",5.0,"It smells good
Read more"
"Ambi Pur Car Air Freshener Refill Aerosol, Aqua, 7.5 ml","3.0 out of 5 stars
Fragrance is not of long duration.",3.0,"Smells good but longevity is not good.....
Read more"
"Ambi Pur Car Air Freshener Refill Aerosol, Aqua, 7.5 ml","5.0 out of 5 stars
H",5.0,"T
Read more"
"Ambi Pur Car Air Freshener Refill Aerosol, Aqua, 7.5 ml","4.0 out of 5 stars
Ambipure",4.0,"Good product
Read more"
"Ambi Pur Car Air Freshener Refill Aerosol, Aqua, 7.5 ml","5.0 out of 5 stars
Good",5.0,"Good
Read more"
"Ambi Pur Car Air Freshener Refill Aerosol, Aqua, 7.5 ml","1.0 out of 5 stars
No fragrance.",1.0,"Appears not original. No smell.
Read more"
3M Foaming Car Interior Cleaner (580 g) | Upholstery & Leather cleaner | Removes tough stains & dirt inside your car,"5.0 out of 5 stars
Title: Keep Your Car Interior Spotless with 3M Foaming Car Interior Cleaner",5.0,"Title: Keep Your Car Interior Spotless with 3M Foaming Car Interior CleanerI recently tried out the 3M Foaming Car Interior Cleaner, and I must say, it's a game-changer when it comes to keeping my car's interior looking pristine. This powerful cleaner effortlessly removes tough stains from upholstery and leather, leaving behind a fresh and clean scent.First and foremost, let's talk about effectiveness. The foaming action of this cleaner penetrates deep into the fabric, lifting dirt, grime, and stains with ease. Whether it's spills, grease, or stubborn marks, this cleaner tackles them all, restoring upholstery and leather surfaces to their original condition.Moreover, I appreciate the versatility of this cleaner. It's suitable for use on a variety of surfaces, including fabric upholstery, leather seats, carpets, and even plastic panels. This means I can use it to clean the entire interior of my car, saving time and effort by not needing multiple products.The convenience of the foaming formula cannot be overstated. It clings to surfaces, allowing the active ingredients to work their magic without dripping or running. Plus, it's easy to control and target specific areas, ensuring thorough cleaning without wastage.Another standout feature of this cleaner is its gentle yet effective formula. It removes stains without damaging or discoloring the upholstery or leather, leaving behind a clean and fresh surface. Plus, it dries quickly, so I can enjoy a clean car interior in no time.In terms of value for money, the 580g size of this cleaner is generous and long-lasting. A little goes a long way, so I know I'll get plenty of use out of each bottle.Overall, I couldn't be more impressed with the 3M Foaming Car Interior Cleaner. Its powerful cleaning action, versatility, and gentle formula make it a must-have for any car owner looking to keep their vehicle looking its best. Say goodbye to tough stains and hello to a clean and fresh car interior with this fantastic cleaner. Highly recommended!
Read more"
3M Foaming Car Interior Cleaner (580 g) | Upholstery & Leather cleaner | Removes tough stains & dirt inside your car,"4.0 out of 5 stars
Nice product, but not enough",4.0,"This is really good product for cleaning interior of car. But there two negatives.One there is strong smell of chemical and fumes. So keep all car windows and dicky open and do it in open area. Also keep you face away from spray by extending your hand while spraying foam.Secondly, quantity is not enough for complete car cleaning of one car if you want to do seats, dashboard, door panels and roof. You will have to compromise one one or two things from above list as the quantity is less. One big size SUV for light cleaning, one and spray is needed and for deep cleaning two or even 2.5 cans are needed.But the product is worth it, so you can go for it. Also buy a light brush or use old toothbrush and microfiber cloth (2-3  are needed as one gets wet and dirty).Keep windows open while driving after your cleaning.
Read more"
3M Foaming Car Interior Cleaner (580 g) | Upholstery & Leather cleaner | Removes tough stains & dirt inside your car,"5.0 out of 5 stars
Very good product",5.0,"I have been using this product for 2-3 years and I must say this is one of the best car seat cleaner. Recommended to my friends and family as well. It hardly requires efforts to clean.
Read more"
3M Foaming Car Interior Cleaner (580 g) | Upholstery & Leather cleaner | Removes tough stains & dirt inside your car,"3.0 out of 5 stars
Doesn't work wonders. It's good, not great.",3.0,"I tried the product on Yoga mat, sofa, carpet, shoes, shoe sole (the white sole of some leather shoes).Good thing - none of the objects spoiled.Bad thing - the product failed to impress with its cleaning properties.The product was easy to apply. Dont shy away from fully depressing the nozzle. The can takes long to empty . But the cleaning that was provided with so much of foam was not satisfactory. Shoe soles were still dirty, though not as much as before. Yoga mat still had stains of sweat, even after using brush to remove dirt.My toddler vomited on sofa, which I cleaned with this foam. thankfully, there were no stains. But the foam's fragrance came to rescue.Overall, it's a mixed bag of experiences, more towards unsatisfactory.
Read more"
3M Foaming Car Interior Cleaner (580 g) | Upholstery & Leather cleaner | Removes tough stains & dirt inside your car,"5.0 out of 5 stars
Just WOW!!!",5.0,"Amazing results. Just worked like wow!! My car seats are all leather , it just worked amazing on them. Cleaned all the 5 seats and everything else on the insides, still left with 25% of it. Just look at the front seats difference after usage . 5 star 👍🏼
Read more"
3M Foaming Car Interior Cleaner (580 g) | Upholstery & Leather cleaner | Removes tough stains & dirt inside your car,"4.0 out of 5 stars
Good product",4.0,"Using the product is easy & productive. It is indeed value for money.
Read more"
3M Foaming Car Interior Cleaner (580 g) | Upholstery & Leather cleaner | Removes tough stains & dirt inside your car,"5.0 out of 5 stars
Clean so easy",5.0,"Guys if you have sofas that are light in color and need to get cleaned then trust me you must try this. It really cleans the fresh stains very easily, just spray wait and wipe.
Read more"
3M Foaming Car Interior Cleaner (580 g) | Upholstery & Leather cleaner | Removes tough stains & dirt inside your car,"1.0 out of 5 stars
Hazardous",1.0,"Highly toxic warning given on the can itself..but not mentioned anywhere in item description..Also misleading 'safe to use' tag given in description...Suspected to be causing cancer and hence not good for regular use in closed areas like car interiors. Also not ideal for use on fabric type upholstery.
Read more"
Ns Ltd Genuine like Design Bar End Rear view Mirror made with Aluminum Embossed RE Logo compatible with all RE Bikes like ...,"5.0 out of 5 stars
Great product",5.0,"Really good .. and fit finish quality love it the after fixing looks amazing ..as originals one RE
Read more"
Ns Ltd Genuine like Design Bar End Rear view Mirror made with Aluminum Embossed RE Logo compatible with all RE Bikes like ...,"1.0 out of 5 stars
Waste of money",1.0,"Side end mirrors such as these have design flaws, materials used(Aluminum) are prone to breakage, one small nudge and the whole arm will break off.It will look good till the time it's not tested by our traffic conditions.Product design is faulty, go buy original RE product
Read more"
Ns Ltd Genuine like Design Bar End Rear view Mirror made with Aluminum Embossed RE Logo compatible with all RE Bikes like ...,"4.0 out of 5 stars
It’s look as same as the original one but feels a little bit fragile sometimes.",4.0,"It looks like the same one which cost about 6k. Exactly the same. But the material is of course a little bit cheaper (a little bit not too much). It sometimes feels fragile while adjusting. Just avoid playing with it or else you’ll end up breaking it. Btw I’m using this on my meteor. It literally worth every penny.
Read more"
Ns Ltd Genuine like Design Bar End Rear view Mirror made with Aluminum Embossed RE Logo compatible with all RE Bikes like ...,"5.0 out of 5 stars
Very easy to fit in gt650",5.0,"The built quality is heavy,wonderful product,Don’t waste the money in original RE BAR END mirror,this is the same quality compared to RE mirror,just go for it ,i have fixed it ,not going any workshop
Read more"
Ns Ltd Genuine like Design Bar End Rear view Mirror made with Aluminum Embossed RE Logo compatible with all RE Bikes like ...,"1.0 out of 5 stars
The part was broken.",1.0,"The box was already opened and the metal quality is low the connecting arm was bent and also the connecting base was broken
Read more"
Ns Ltd Genuine like Design Bar End Rear view Mirror made with Aluminum Embossed RE Logo compatible with all RE Bikes like ...,"2.0 out of 5 stars
Quality and vibration issue",2.0,"The quality of the product is not good, it started to crack at time of installation and while riding the vibration of mirrors is felt in the handlebars and post 60kmph you can’t see anything behind
Read more"
Ns Ltd Genuine like Design Bar End Rear view Mirror made with Aluminum Embossed RE Logo compatible with all RE Bikes like ...,"5.0 out of 5 stars
Product is Good! Packaging was Excellent not even a Single scratch 👌",5.0,"Loved it guys! Just got it product was amazing I still didn't use it for long let's see how long does it lasts!
Read more"
Ns Ltd Genuine like Design Bar End Rear view Mirror made with Aluminum Embossed RE Logo compatible with all RE Bikes like ...,"1.0 out of 5 stars
Not worth buying waste of time as well as money",1.0,"Got a product that was scratched and with spelling error for “objects” and quality of the mirror was bad very thin glass and glue being seen on the edge of the mirror was an absolute waste of time buying this better to put 6.5k and getting the original mirrors from RE
Read more"
"Car Windshield Repair Kit, Window Glass Crack Repair Tool Fluid Liquid for Fix Windshield Chips, Cracks, Bulls-Eye, Star-S...","1.0 out of 5 stars
Not worth just waste of money",1.0,"It just waste of money , its not working ,I tried 3-4 time but not effective even on small crack of 1 inch .
Read more"
"Car Windshield Repair Kit, Window Glass Crack Repair Tool Fluid Liquid for Fix Windshield Chips, Cracks, Bulls-Eye, Star-S...","5.0 out of 5 stars
Worth for money",5.0,"Good... But i used it for two times.. Then only crack will be closed..But product is worth....Small stone cracks we can use it...
Read more"
"Car Windshield Repair Kit, Window Glass Crack Repair Tool Fluid Liquid for Fix Windshield Chips, Cracks, Bulls-Eye, Star-S...","2.0 out of 5 stars
Not value for money🙃",2.0,"Shai se use nhi hota
Read more"
"Car Windshield Repair Kit, Window Glass Crack Repair Tool Fluid Liquid for Fix Windshield Chips, Cracks, Bulls-Eye, Star-S...","3.0 out of 5 stars
Ok",3.0,"Good
Read more"
"Car Windshield Repair Kit, Window Glass Crack Repair Tool Fluid Liquid for Fix Windshield Chips, Cracks, Bulls-Eye, Star-S...","1.0 out of 5 stars
Very bad product, wastage of money",1.0,"Do not buy this product, its just wastage of money, glass do not repair with this as i have also tried but not repair
Read more"
"Car Windshield Repair Kit, Window Glass Crack Repair Tool Fluid Liquid for Fix Windshield Chips, Cracks, Bulls-Eye, Star-S...","4.0 out of 5 stars
Good product",4.0,"Quality is good ...make sure that use as soon as crack appears...orelse dust may enter in crack..and it will stop prefect healing
Read more"
"Car Windshield Repair Kit, Window Glass Crack Repair Tool Fluid Liquid for Fix Windshield Chips, Cracks, Bulls-Eye, Star-S...","1.0 out of 5 stars
worst product",1.0,"worst product
Read more"
"Car Windshield Repair Kit, Window Glass Crack Repair Tool Fluid Liquid for Fix Windshield Chips, Cracks, Bulls-Eye, Star-S...","1.0 out of 5 stars
Output",1.0,"Utna acha result nhi hai
Read more"
wolpin Car Decor for Car Dashboard Duckling with Fan Car Air Vent Interior Decoration Accessories Decorative Showpiece for...,"5.0 out of 5 stars
Great car accessory",5.0,"I bought this after browsing some expensive options. This product looks perfect and the build quality is excellent. Just go for it. The fan spins when we keep the windows open. I use essential oils on the tablet provided once the scent wore off it. Really useful product.
Read more"
wolpin Car Decor for Car Dashboard Duckling with Fan Car Air Vent Interior Decoration Accessories Decorative Showpiece for...,"5.0 out of 5 stars
Lovely master piece",5.0,"The media could not be loaded.
                



 Loved the product it's to cute to resist.  The fan mechanism is also good
Read more"
wolpin Car Decor for Car Dashboard Duckling with Fan Car Air Vent Interior Decoration Accessories Decorative Showpiece for...,"4.0 out of 5 stars
Good one. Can gift to your loving one.",4.0,"Cute product for your cozy car.
Read more"
wolpin Car Decor for Car Dashboard Duckling with Fan Car Air Vent Interior Decoration Accessories Decorative Showpiece for...,"3.0 out of 5 stars
Cute but noisy",3.0,"Its very cute but its kind of noisy. I will try some WD 40 to reduce it.
Read more"
wolpin Car Decor for Car Dashboard Duckling with Fan Car Air Vent Interior Decoration Accessories Decorative Showpiece for...,"5.0 out of 5 stars
Lovely 🥰",5.0,"The media could not be loaded.
                



 If u have kids then tough to have it on ac went if not it’s damn cute ☺️  and a perfect toy for the car. The clip behind is nice and strong duck is cute as in the pics. But tablets will get finished with few days 😅
Read more"
wolpin Car Decor for Car Dashboard Duckling with Fan Car Air Vent Interior Decoration Accessories Decorative Showpiece for...,"5.0 out of 5 stars
Very cute",5.0,"I loved the product. The size and build quality is amazing.It’s small and the air went it sticks to are straight but mostly cars have horizontal vents. That’s only thing to be considered about, rest it’s awesome.My girl loved it.
Read more"
wolpin Car Decor for Car Dashboard Duckling with Fan Car Air Vent Interior Decoration Accessories Decorative Showpiece for...,"5.0 out of 5 stars
Too costly but a great product to buy",5.0,"Its cost is very high as compared to item used
Read more"
