product,title,rating,body
"Kore PVC DM-5kg-Combo 161 Fixed Dumbbells Set and Fitness Kit for Men and Women Whole Body Workout, Multicolor","5.0 out of 5 stars
Useful but it hurts",5.0,"First of all it is of 5 kg which I have weighed the moment I purchased it.The problem is with material used , I guess it is pvc. It cause minor injury / scratches on my hand. The roughness of pvc cause slight bleeding on my finger when used for first time.If you want to purchase it for exercise. It is no doubt handy.
Read more"
"Kore PVC DM-5kg-Combo 161 Fixed Dumbbells Set and Fitness Kit for Men and Women Whole Body Workout, Multicolor","4.0 out of 5 stars
At that price it's good product go for it",4.0,"It's good accurate weight like 5kg. It's not that durable you have to use carefully. And I also advise you to don't throw it on floor it's not that strong.
Read more"
"Kore PVC DM-5kg-Combo 161 Fixed Dumbbells Set and Fitness Kit for Men and Women Whole Body Workout, Multicolor","1.0 out of 5 stars
Don’t buy",1.0,"Very bad quality and not durable at all. It’s a cheap plastic mould filled with sand/mortar that’ll break or crack very easily. This is why they don’t have a return option.
Read more"
"Kore PVC DM-5kg-Combo 161 Fixed Dumbbells Set and Fitness Kit for Men and Women Whole Body Workout, Multicolor","5.0 out of 5 stars
Good product",5.0,"Best product st good price. Nice quality. Too good one for Beginner
Read more"
"Kore PVC DM-5kg-Combo 161 Fixed Dumbbells Set and Fitness Kit for Men and Women Whole Body Workout, Multicolor","3.0 out of 5 stars
😌😌",3.0,"The product came in a good condition with proper packaging. It looks exactly the same as shown in the display picture.The quality is so-so. Also, what else can you expect at such a low price?!Note: Do not put all your weight while doing floor exercises using these (push ups, plank rows, etc etc) because they might break. I meant to say that don't hold these against the floor while doing those exercises.Have been using these since the last 20days and till now it's fine🤞🏻 let's see what happens in future..Thank you Amazon for providing us with products of such low price range 😇😍
Read more"
"Kore PVC DM-5kg-Combo 161 Fixed Dumbbells Set and Fitness Kit for Men and Women Whole Body Workout, Multicolor","5.0 out of 5 stars
Nice quality",5.0,"Best for home workout
Read more"
"Kore PVC DM-5kg-Combo 161 Fixed Dumbbells Set and Fitness Kit for Men and Women Whole Body Workout, Multicolor","4.0 out of 5 stars
Good",4.0,"The product is nice , it has nice bilt quality
Read more"
"Kore PVC DM-5kg-Combo 161 Fixed Dumbbells Set and Fitness Kit for Men and Women Whole Body Workout, Multicolor","5.0 out of 5 stars
Ok",5.0,"Cheap and best
Read more"
Boldfit Forearm Strengthener Wrist Exercise Equipment Arm Strengthener Grip Strengthener Fitness Equipment Home Gym Equipm...,"5.0 out of 5 stars
Fantastic forearm strengthener dilivers impressive results",5.0,"The media could not be loaded.
                



 I purchased the Boldfit Forearm Strengthener a month ago, and let me tell you, it has exceeded my expectations in every way! This compact yet powerful fitness tool has become an integral part of my workout routine, and I couldn't be happier with the results it has provided.First and foremost, I'm extremely impressed with the overall quality of the Boldfit Forearm Strengthener. It is evident that the materials used are of the highest standard, ensuring durability and long-lasting performance. The craftsmanship is impeccable, with strong attention to detail. This strengthener is built to withstand rigorous workouts without losing its shape or functionality, which is truly commendable.The elasticity of the Boldfit Forearm Strengthener is another key feature that has impressed me. It offers the ideal amount of resistance, allowing for both beginners and advanced users to benefit from its use. Regardless of your fitness level, this strengthener will provide you with the necessary challenge to strengthen your forearm muscles effectively and efficiently.Additionally, I must acknowledge the striking appearance of this fitness tool. The bold and vibrant colors not only make it visually appealing but also add a touch of motivation to my workout sessions. It stands out
Read more"
Boldfit Forearm Strengthener Wrist Exercise Equipment Arm Strengthener Grip Strengthener Fitness Equipment Home Gym Equipm...,"4.0 out of 5 stars
Budget friendly exercise equipment",4.0,"Good product
Read more"
Boldfit Forearm Strengthener Wrist Exercise Equipment Arm Strengthener Grip Strengthener Fitness Equipment Home Gym Equipm...,"5.0 out of 5 stars
Happy purchase",5.0,"Very easy to use and does the job well. Great quality of make.
Read more"
Boldfit Forearm Strengthener Wrist Exercise Equipment Arm Strengthener Grip Strengthener Fitness Equipment Home Gym Equipm...,"3.0 out of 5 stars
Forearm Strengther",3.0,"Good product ,but only for beginners
Read more"
Boldfit Forearm Strengthener Wrist Exercise Equipment Arm Strengthener Grip Strengthener Fitness Equipment Home Gym Equipm...,"5.0 out of 5 stars
Good product quality",5.0,"The product comes as described and has the quality to last long, it is effective and work as intended. Would not recommended early begginers as there is no way to adjust the resistance and it may be uncomfortable for them to use.
Read more"
Boldfit Forearm Strengthener Wrist Exercise Equipment Arm Strengthener Grip Strengthener Fitness Equipment Home Gym Equipm...,"4.0 out of 5 stars
Nice for hand exercises",4.0,"It is good
Read more"
Boldfit Forearm Strengthener Wrist Exercise Equipment Arm Strengthener Grip Strengthener Fitness Equipment Home Gym Equipm...,"1.0 out of 5 stars
Used item received",1.0,Read more
Boldfit Forearm Strengthener Wrist Exercise Equipment Arm Strengthener Grip Strengthener Fitness Equipment Home Gym Equipm...,"5.0 out of 5 stars
Nice",5.0,"I'm satisfied
Read more"
"Starx Plastic Xpvc Fixed Dumbbell Set, Adult 1Kg, Set of 2 (Blue)","5.0 out of 5 stars
Build quality and handling",5.0,"The handling is sturdy, but the plastic is a bit flimsy which is justified for the price these come in.
Read more"
"Starx Plastic Xpvc Fixed Dumbbell Set, Adult 1Kg, Set of 2 (Blue)","4.0 out of 5 stars
Yo",4.0,"Good product
Read more"
"Starx Plastic Xpvc Fixed Dumbbell Set, Adult 1Kg, Set of 2 (Blue)","3.0 out of 5 stars
Good but Could be better",3.0,"build quality is cheap it's not worth it for rs 250, although I bought it for rs 80...
Read more"
"Starx Plastic Xpvc Fixed Dumbbell Set, Adult 1Kg, Set of 2 (Blue)","1.0 out of 5 stars
Poor Quality",1.0,"I was not able to use it for long, when i tried to use it sand was coming out of it and was unusable.
Read more"
"Starx Plastic Xpvc Fixed Dumbbell Set, Adult 1Kg, Set of 2 (Blue)","5.0 out of 5 stars
Nice",5.0,"Good weights for excerise for beginners
Read more"
"Starx Plastic Xpvc Fixed Dumbbell Set, Adult 1Kg, Set of 2 (Blue)","2.0 out of 5 stars
Below average",2.0,"The product quality is bad. There is sand as a filling which is bow spilling from here and there.
Read more"
"Starx Plastic Xpvc Fixed Dumbbell Set, Adult 1Kg, Set of 2 (Blue)","5.0 out of 5 stars
Bought for my Kid",5.0,"Looking for a dumble as my 6 years old Son was asking. This one looks crazy,  I have ordered blue dumbles, thanks for the seller sent the same color. Got two dumbles as mentioned in the order. My Son is enjoying with dumbles weighing 1 Kg each. I got this for only 99. Its a plastic made filled with a sand. I'm happy with this product.
Read more"
