product,title,rating,body
"Sunfeast Dark Fantasy Bourbon Classic With Real Chocolate, 100g","5.0 out of 5 stars
Superb taste",5.0,"Worth the price
Read more"
"Sunfeast Dark Fantasy Bourbon Classic With Real Chocolate, 100g","4.0 out of 5 stars
Nice",4.0,"Good product. ..
Read more"
"Sunfeast Dark Fantasy Bourbon Classic With Real Chocolate, 100g","5.0 out of 5 stars
Ok",5.0,"Not  as much expectation. Like taste is not same like previous
Read more"
"Sunfeast Dark Fantasy Bourbon Classic With Real Chocolate, 100g","5.0 out of 5 stars
Sunfeast Bourbon Chocolate Biscuits",5.0,"Irresistible Delight! These biscuits are a perfect blend of rich chocolate and crunchy goodness. The packaging keeps them fresh, and they're my favorite tea-time treat. A must-have for chocolate biscuit enthusiasts!""
Read more"
"Sunfeast Dark Fantasy Bourbon Classic With Real Chocolate, 100g","3.0 out of 5 stars
Good",3.0,"Taste
Read more"
"Sunfeast Dark Fantasy Bourbon Classic With Real Chocolate, 100g","5.0 out of 5 stars
Super",5.0,"Bahut acha hai, thank you so much Amazon🙏
Read more"
"Sunfeast Dark Fantasy Bourbon Classic With Real Chocolate, 100g","4.0 out of 5 stars
Value for money",4.0,"I got a 50 percent discount and I'm a regular buyer so it's awasome .
Read more"
"Sunfeast Dark Fantasy Bourbon Classic With Real Chocolate, 100g","5.0 out of 5 stars
One destination",5.0,"As I love this flavour since a long time. I really appreciate to amazon who is providing good quality and fresh in cheaper price.
Read more"
"Fresh Organic Ginger, 100g","5.0 out of 5 stars
Value for money",5.0,"Good in qualityVery softSize is also goodClean and fresh
Read more"
"Fresh Organic Ginger, 100g","4.0 out of 5 stars
Ok",4.0,"Soft and fresh
Read more"
"Fresh Organic Ginger, 100g","5.0 out of 5 stars
It's good,looks like unfresh",5.0,"Flavour of ginger is good,organically what you said.
Read more"
"Fresh Organic Ginger, 100g","3.0 out of 5 stars
Ginger",3.0,"Good quality & Fresh Growth Herb Should be delivered.
Read more"
"Fresh Organic Ginger, 100g","5.0 out of 5 stars
Its Awesome",5.0,"Healthy and refreshing.
Read more"
"Fresh Organic Ginger, 100g","4.0 out of 5 stars
Fresh Organic Ginger",4.0,"Fresh Organic Ginger is good
Read more"
"Fresh Organic Ginger, 100g","5.0 out of 5 stars
Good",5.0,"Good
Read more"
"Fresh Organic Ginger, 100g","5.0 out of 5 stars
Good",5.0,"Except for ginger rest of the fruits & vegetables were quite fresh.
Read more"
Kellogg's Chocos Variety Pack 168g | Breakfast Cereal for Kids,"5.0 out of 5 stars
Good one",5.0,"Good product
Read more"
Kellogg's Chocos Variety Pack 168g | Breakfast Cereal for Kids,"4.0 out of 5 stars
My daughter loves it",4.0,"Tastes good
Read more"
Kellogg's Chocos Variety Pack 168g | Breakfast Cereal for Kids,"5.0 out of 5 stars
Perfect for picky eaters",5.0,"This combo offers a taste of multiple varieties of Kelloggs products without a hefty price tag. It's the perfect sampling option to choose what works best for your picky eaters at home, without wasting food or splurging money.
Read more"
Kellogg's Chocos Variety Pack 168g | Breakfast Cereal for Kids,"5.0 out of 5 stars
Good",5.0,"Quality product
Read more"
Kellogg's Chocos Variety Pack 168g | Breakfast Cereal for Kids,"3.0 out of 5 stars
Good",3.0,"Quantity wise its too little but quality wise good.
Read more"
Kellogg's Chocos Variety Pack 168g | Breakfast Cereal for Kids,"5.0 out of 5 stars
It's good",5.0,"Good offer
Read more"
Kellogg's Chocos Variety Pack 168g | Breakfast Cereal for Kids,"4.0 out of 5 stars
Good",4.0,"Good
Read more"
Kellogg's Chocos Variety Pack 168g | Breakfast Cereal for Kids,"5.0 out of 5 stars
good",5.0,"Ultimately Perfect, Taste Also very nice, Real flavor of chocolate, Kids will like this most, Highly Recommended  ..
Read more"
"LG Asafoetida Powder, 100 g","5.0 out of 5 stars
Good Product",5.0,"LG  Asafoetida Powder, always the best one.
Read more"
"LG Asafoetida Powder, 100 g","5.0 out of 5 stars
Excellent",5.0,"Excellent as always.
Read more"
"LG Asafoetida Powder, 100 g","4.0 out of 5 stars
Nice quality",4.0,"Good
Read more"
"LG Asafoetida Powder, 100 g","5.0 out of 5 stars
Good",5.0,"Good
Read more"
"LG Asafoetida Powder, 100 g","5.0 out of 5 stars
Original product, 100% genuine.",5.0,"Taste good, original product.
Read more"
"LG Asafoetida Powder, 100 g","5.0 out of 5 stars
FINE",5.0,"RECEIVED
Read more"
"LG Asafoetida Powder, 100 g","3.0 out of 5 stars
LG Turmeric Powder was not delivered",3.0,"Though there is a free offer of 50g LG Turmeric Powder, it was not delivered. Bit disappointed.
Read more"
"LG Asafoetida Powder, 100 g","4.0 out of 5 stars
LG Asafoetida Powder, 100g",4.0,"Great product. Value for money.
Read more"
"Parle Monaco Classic, 400g","5.0 out of 5 stars
Excellent",5.0,"Salty crunchy with mouthwatering taste for me. Excellent quality and texture.
Read more"
"Parle Monaco Classic, 400g","4.0 out of 5 stars
Good Product",4.0,"Good Product
Read more"
"Daawat Pulav, Long Grains, Fluffy Basmati for finest Pulav, 1 Kg","5.0 out of 5 stars
Good quality,thick cover packing , no damage, super",5.0,"Big grains, aroma is basmati flavour, double XL rice size, . Very easy to cooking.  Twenty minutes cooking biryani ready.
Read more"
"Daawat Pulav, Long Grains, Fluffy Basmati for finest Pulav, 1 Kg","4.0 out of 5 stars
Good product",4.0,"Good product
Read more"
"Daawat Pulav, Long Grains, Fluffy Basmati for finest Pulav, 1 Kg","5.0 out of 5 stars
Excellent rice for Kolkata style Pulao",5.0,"The media could not be loaded.
                



 I loved the texture and Aroma of the rice. The grains remains separate after cooking.The taste of the Pulao is simply exotic, and the rice itself retained a singular flavour of it's own.
Read more"
"Daawat Pulav, Long Grains, Fluffy Basmati for finest Pulav, 1 Kg","5.0 out of 5 stars
Product matching the description.",5.0,"Price matched the quality of the product.
Read more"
"Daawat Pulav, Long Grains, Fluffy Basmati for finest Pulav, 1 Kg","3.0 out of 5 stars
Small size amd average flavor",3.0,"Average taste with average length of the grain ... Price is high ... Not worth..
Read more"
"Daawat Pulav, Long Grains, Fluffy Basmati for finest Pulav, 1 Kg","4.0 out of 5 stars
Very good quality",4.0,"Taste, flavours,quality, accordingly prediction
Read more"
"Parle Monaco Classic, 400g","5.0 out of 5 stars
Good",5.0,"Good branded
Read more"
"Parle Monaco Classic, 400g","5.0 out of 5 stars
CRISPY AND CRUNCHY",5.0,"Very well baked and not much salt.
Read more"
"Parle Monaco Classic, 400g","3.0 out of 5 stars
Good price",3.0,"This product is offered at a good price for 700 grams. It is worth buying. The only problem is that almost 50% of the biscuits are broken and the edges are smashed. The packaging needs to be improved to protect the easily breakable biscuits.
Read more"
"Parle Monaco Classic, 400g","5.0 out of 5 stars
Perfect. Just go for it.",5.0,"Package looks smaller in picture but it is awesome 💯
Read more"
"Parle Monaco Classic, 400g","4.0 out of 5 stars
Biscuit",4.0,"Nice
Read more"
"Parle Monaco Classic, 400g","5.0 out of 5 stars
Excellent customer product quality",5.0,"Excellent customer product quality
Read more"
"Cadbury Dairy Milk Crispello Chocolate Bar, 35 g","5.0 out of 5 stars
Chocolate making a difference",5.0,"The chocolate is different from the earlier brands, it just crispy and melts into the mouth. I loved the taste and sweetness.
Read more"
"Cadbury Dairy Milk Crispello Chocolate Bar, 35 g","5.0 out of 5 stars
It's quite good",5.0,"Didn't thought it would be this good. I was searching for kitkat substitute, and I am glad I found this product ☺️
Read more"
"Cadbury Dairy Milk Crispello Chocolate Bar, 35 g","4.0 out of 5 stars
Best",4.0,"👍🏻
Read more"
"Cadbury Dairy Milk Crispello Chocolate Bar, 35 g","5.0 out of 5 stars
Good",5.0,"Nice
Read more"
"Cadbury Dairy Milk Crispello Chocolate Bar, 35 g","5.0 out of 5 stars
A good snack",5.0,"An amazing chocolate as always ✨
Read more"
"Cadbury Dairy Milk Crispello Chocolate Bar, 35 g","3.0 out of 5 stars
It’s very good",3.0,"It’s very good but it came melted
Read more"
"Cadbury Dairy Milk Crispello Chocolate Bar, 35 g","5.0 out of 5 stars
Crispello : Must try it",5.0,"This is an amazing product by Cadbury.  The quantity at this price is also good. and taste must go for it
Read more"
"Cadbury Dairy Milk Crispello Chocolate Bar, 35 g","4.0 out of 5 stars
Too soft for Indian summers",4.0,"Too melty. Refrigerate before opening package in summer. Ruined my experience, but it's tasty. Might buy this again in winter.
Read more"
"Daawat Pulav, Long Grains, Fluffy Basmati for finest Pulav, 1 Kg","5.0 out of 5 stars
Very testy and smooth",5.0,"Very testy and smooth.
Read more"
"Daawat Pulav, Long Grains, Fluffy Basmati for finest Pulav, 1 Kg","5.0 out of 5 stars
Long grain, fragrant",5.0,"For best pulav ever
Read more"
"Urban Platter Pink Himalayan Rock Salt Powder Jar, 1.5kg ( Additive-Free, Gourmet Grade, Signature Quality)","5.0 out of 5 stars
Nice quality salt",5.0,"Clean and nice quality product
Read more"
"Urban Platter Pink Himalayan Rock Salt Powder Jar, 1.5kg ( Additive-Free, Gourmet Grade, Signature Quality)","4.0 out of 5 stars
Good packaging",4.0,"Packaging was very good and price was also good
Read more"
