product,title,rating,body
"Scotch Double Sided Heavy Duty Tape(1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, ...","5.0 out of 5 stars
Works superb!",5.0,"If you touch it with bare hands, it is not sticky- but that doesnt mean it wont stick. It works superbly when applied pressure for some time. Just go for it!
Read more"
"Scotch Double Sided Heavy Duty Tape(1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, ...","4.0 out of 5 stars
Holds others well",4.0,"The tape knows how to hold things together when things are falling apart. As some saying goes we all have pockets full of stones, well this tape can let you hang your stones, paintings, wall plates, your olive oil bottle stand.
Read more"
"Scotch Double Sided Heavy Duty Tape(1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, ...","5.0 out of 5 stars
Excellent product",5.0,"It is very nice product. Glue is superb.
Read more"
"Scotch Double Sided Heavy Duty Tape(1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, ...","3.0 out of 5 stars
Not worth the name",3.0,"I used I it to stick hooks to hold less than a kg weight but the tape is not adhesive and hook fell off
Read more"
"Scotch Double Sided Heavy Duty Tape(1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, ...","1.0 out of 5 stars
Worse product",1.0,"It is one of the worse products I have ever bought from Amazon. It sticks to nothing literally nothing; forget about the claims about weight etc. it can carry. All false claims. It's gum is of degraded quality; bad then the normal double side tape. The product maker knows that once product is sold then customer will have to use it to describe it and in the process it becomes a non- returnable item. So, they will be able to definitely sell it once to people. Do not buy it ever.
Read more"
"Scotch Double Sided Heavy Duty Tape(1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, ...","5.0 out of 5 stars
Useful",5.0,"Easy to use and stay stuck, at the same time does not leave a visible residue when it has to be peeled off from the wall
Read more"
"Scotch Double Sided Heavy Duty Tape(1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, ...","4.0 out of 5 stars
Good quality product",4.0,"It is working ok and stick plastic remote cover
Read more"
"Scotch Double Sided Heavy Duty Tape(1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, ...","5.0 out of 5 stars
Great product",5.0,"Awesome
Read more"
Smart Anchor by Panasonic Plastic 6A Plug Adaptor (White),"5.0 out of 5 stars
Perfect",5.0,"Quality is very good. Blindly go for it. Perfectly working with regular chargers. I'm using this adapter with Vivo phone charger and iPad charger at top and bottom respectively. Centre I use regular extension board two pin plug.
Read more"
Smart Anchor by Panasonic Plastic 6A Plug Adaptor (White),"4.0 out of 5 stars
Good product",4.0,"It fits into the socket perfectly and works really good.
Read more"
Smart Anchor by Panasonic Plastic 6A Plug Adaptor (White),"5.0 out of 5 stars
Qulity product -anchor",5.0,"Super qulity product.Sturdy...3 pinSafe .Value for money.Perfect size
Read more"
Smart Anchor by Panasonic Plastic 6A Plug Adaptor (White),"5.0 out of 5 stars
It is a good product , worth of money",5.0,"It's a good product for this price
Read more"
Smart Anchor by Panasonic Plastic 6A Plug Adaptor (White),"5.0 out of 5 stars
Good quality",5.0,"It comes with a power on indicator. Quality is good.
Read more"
Smart Anchor by Panasonic Plastic 6A Plug Adaptor (White),"4.0 out of 5 stars
Good product",4.0,"I ordered two numbers. Overall quality of the products is good but out of two 2 pins socket, one is little tighter than other and slight misaligned internally, so you need to push the pin little hard however it works well. The product box do not mention if this is over heat protector, over current / surge protector etc . as this mentioned in the advertisement on Amazon. So I am not sure if these features are there or not  but the socket feels heavy. I recommend this product.
Read more"
Smart Anchor by Panasonic Plastic 6A Plug Adaptor (White),"5.0 out of 5 stars
A Lifesaver for Limited Outlets!",5.0,"I recently purchased the Anchor by Panasonic 6A 3 Pin Multiplug Adapter with Universal Socket, and let me tell you, it's been a game-changer for me! Living with just one power socket on my side of the bed was always a hassle, especially when I needed to charge my phone, laptop, and power my night lamp simultaneously.This multiplug adapter came to the rescue, allowing me to connect all my devices at once without any hassle. The universal socket feature is incredibly convenient, accommodating various plug types effortlessly. The build quality feels sturdy, and I have peace of mind knowing that my devices are safe while charging.Not only does it effectively solve my power needs, but it also helps declutter the space around my bed. Now, I don't have to worry about tangled cords or limited outlets anymore.Overall, I'm extremely satisfied with my purchase. If you're facing a similar issue with limited outlets, I highly recommend investing in this multiplug adapter. It's a small investment that brings significant convenience and functionality to your daily life.
Read more"
