product,title,rating,body
Genie Unicorn School Bags for Girls - 3 compartments | Stylish and Trendy College Bag for Girls | Easy to Carry Backpacks ...,"5.0 out of 5 stars
Good bag.",5.0,"Too much space.High quality zipper. Light weight.Too adorable.Soft material.Good for school. Cute design. Worth the money.Very good bag.
Read more"
Genie Unicorn School Bags for Girls - 3 compartments | Stylish and Trendy College Bag for Girls | Easy to Carry Backpacks ...,"4.0 out of 5 stars
Good Quality",4.0,"Good for small kids
Read more"
Genie Unicorn School Bags for Girls - 3 compartments | Stylish and Trendy College Bag for Girls | Easy to Carry Backpacks ...,"5.0 out of 5 stars
Very good quality",5.0,"The media could not be loaded.
                



 This school bad is very soft,  too much space abd zipper is nice and stitching is very good kids love it this school bag.
Read more"
Genie Unicorn School Bags for Girls - 3 compartments | Stylish and Trendy College Bag for Girls | Easy to Carry Backpacks ...,"5.0 out of 5 stars
Costworthy",5.0,"Excellent quality, costworthy
Read more"
Genie Unicorn School Bags for Girls - 3 compartments | Stylish and Trendy College Bag for Girls | Easy to Carry Backpacks ...,"5.0 out of 5 stars
Trendy Unicorn Backpack for Girls!",5.0,"Bought the Genie Unicorn School Bag for my niece, and she adores it! The blue color and unicorn design are so cute, and the water-resistant material gives me peace of mind. With multiple compartments, it’s practical for school or outings. Highly recommend for any little girl!
Read more"
Genie Unicorn School Bags for Girls - 3 compartments | Stylish and Trendy College Bag for Girls | Easy to Carry Backpacks ...,"4.0 out of 5 stars
Good",4.0,"Best quality material
Read more"
Genie Unicorn School Bags for Girls - 3 compartments | Stylish and Trendy College Bag for Girls | Easy to Carry Backpacks ...,"3.0 out of 5 stars
Cost worth",3.0,"Prod.seems nice
Read more"
Genie Unicorn School Bags for Girls - 3 compartments | Stylish and Trendy College Bag for Girls | Easy to Carry Backpacks ...,"5.0 out of 5 stars
Genuine product",5.0,"Product quality is awesome. Exactly same item I've received which I booked. Thank you Amazon for the product and on time delivery.
Read more"
American Tourister 32 Ltrs Blue Casual Backpack (AMT FIZZ SCH BAG 02 - BLUE),"5.0 out of 5 stars
Spacious and good",5.0,"The American Tourister 32 Ltrs Red backpack is a fantastic choice for travelers and commuters alike. With its generous 32-liter capacity, it offers plenty of space to pack all your essentials for a day out or a short trip. The vibrant red color adds a bold and stylish flair, ensuring you stand out from the crowd. The backpack is well-designed with comfortable padded shoulder straps and a supportive back panel, making it comfortable to carry even when fully loaded. Additionally, its durable construction ensures it can withstand the rigors of daily use and travel. Whether you're navigating through crowded airports or bustling city streets, the American Tourister 32 Ltrs Red backpack is sure to be your reliable companion.
Read more"
American Tourister 32 Ltrs Blue Casual Backpack (AMT FIZZ SCH BAG 02 - BLUE),"4.0 out of 5 stars
Good product. Sturdy and enough compartments to keep things organised.",4.0,"Like the size, number of compartments.
Read more"
American Tourister 32 Ltrs Blue Casual Backpack (AMT FIZZ SCH BAG 02 - BLUE),"5.0 out of 5 stars
Great and stylish",5.0,"Lovely item
Read more"
American Tourister Casual Backpack,"5.0 out of 5 stars
Excellent product",5.0,"Excellent bagLight weightSo much storage space with utility pockets2 spacious bottle holdersRain cover with logoGood quality zippersSuperb light weight materialAll in All a very nice excellent bag
Read more"
American Tourister Casual Backpack,"4.0 out of 5 stars
Good product",4.0,"American tourister is good choice for sacks
Read more"
American Tourister Casual Backpack,"5.0 out of 5 stars
Best bag for students",5.0,"It is very good bag for students. It has rain cover also. Quality and material is so good.
Read more"
American Tourister Casual Backpack,"5.0 out of 5 stars
Value for money",5.0,"Comfort, light, water resistant, amazing color, looks decent
Read more"
American Tourister Casual Backpack,"3.0 out of 5 stars
Not original",3.0,"All over quality is good, But feels like copy product
Read more"
American Tourister Casual Backpack,"4.0 out of 5 stars
BAG IS VERY NICE",4.0,"yes bag is very nice... quality is too good, and space also very nice
Read more"
American Tourister Casual Backpack,"1.0 out of 5 stars
Don't buy",1.0,"Poor quality. Very unexpected from a brand like this
Read more"
American Tourister Casual Backpack,"5.0 out of 5 stars
Bag quality is good",5.0,"Good product value for money
Read more"
American Tourister 32 Ltrs Blue Casual Backpack (AMT FIZZ SCH BAG 02 - BLUE),"3.0 out of 5 stars
Ok product",3.0,"After using this product for 2 months. I am writing this review. Product is ok. Quality is not that great.
Read more"
American Tourister 32 Ltrs Blue Casual Backpack (AMT FIZZ SCH BAG 02 - BLUE),"5.0 out of 5 stars
Good quality",5.0,"Is it a good bag for students go to school daily unlike me. It's comfortable
Read more"
American Tourister 32 Ltrs Blue Casual Backpack (AMT FIZZ SCH BAG 02 - BLUE),"1.0 out of 5 stars
बहुत ही ज्यादा खराब",1.0,"इससे खराब बैग धरती पर हो ही नहीं सकता है।इस बैग को खरीद कर पैसा खराब मत करिए।अमेजन वाले अब भारत की जनता को बेवकूफ बना रहे हैं अगर समान खराब है तब भी रिटर्न नहीं करेंगे 1 महीने तक बेवकूफ बनायेंगे फिर बोलेंगे अब रिटर्न नहीं हो सकता है हमने जांच कर लिया है आप यही सोचते रहेंगे कि आपके पास समान खराब पड़ा है और वो जबरदस्ती आपको बोलेंगे कि न रिटर्न होगा न ही पैसे रिफंड होंगे इसलिए जिसको लगता हो पैसा फालतू में उसके पास बिना मेहनत के कमाया है वही यहां खरीदे नहीं अगर मेहनत का पैसा है तो आफलाईन देख कर खरीदे।
Read more"
American Tourister 32 Ltrs Blue Casual Backpack (AMT FIZZ SCH BAG 02 - BLUE),"4.0 out of 5 stars
The bag meterial was very thin.",4.0,"The media could not be loaded.
                



 The feeling in the image is not real. Maybe something like this.  It is easy to use.  A question about workability Depending on its lifespan...
Read more"
American Tourister 32 Ltrs Blue Casual Backpack (AMT FIZZ SCH BAG 02 - BLUE),"5.0 out of 5 stars
Media and text",5.0,"The media could not be loaded.
                



 I liked it very much, this bag is really osm and have a good space,it has a 100 % portability ,it has no damage till tha life you have really, feel very light and good performance , zipper is very cool and very nice, buy it without any hesitation.thankyou American tourister.
Read more"
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment","5.0 out of 5 stars
Best look and comfortable",5.0,"I highly recommend this product. Price is very affordable but bag is very good. This is my first review on amazon because the bag is so good.
Read more"
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment","4.0 out of 5 stars
Good product",4.0,"Good quality, value for money and suitable to carry on long bike rides
Read more"
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment","5.0 out of 5 stars
Quality and volume",5.0,"The quality is good. The volume of the bag can easily contain clothes and shoes of one person for a trip. Easy to wash.
Read more"
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment","5.0 out of 5 stars
Superb",5.0,"Great Quality. Price way lesser than the MRP written
Read more"
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment","3.0 out of 5 stars
Values for not money",3.0,"Low quality.  I  not like this product, waste of money 🤑. waste of time
Read more"
