product,title,rating,body
Feel it Comfortable Leatherite Casual/Formal Ballerina for Women's & Girl's - (1104-P),"5.0 out of 5 stars
Good product The colour is not like in the picture ...",5.0,"Good productThe colour is not like in the picture but worth the amountBeautiful .
Read more"
Feel it Comfortable Leatherite Casual/Formal Ballerina for Women's & Girl's - (1104-P),"3.0 out of 5 stars
Ok",3.0,"The shoe is good but the embellishment come out in a few days
Read more"
Feel it Comfortable Leatherite Casual/Formal Ballerina for Women's & Girl's - (1104-P),"4.0 out of 5 stars
Very comfortable and pretty",4.0,"Super comfortable - feet don't hurt. It has a soft lining on the inside. They're pretty shoes, durable according to price, and good for daily use.
Read more"
Feel it Comfortable Leatherite Casual/Formal Ballerina for Women's & Girl's - (1104-P),"5.0 out of 5 stars
Size is a bit smaller than usual",5.0,"Had to return this since the size was small but look and feel was good
Read more"
Feel it Comfortable Leatherite Casual/Formal Ballerina for Women's & Girl's - (1104-P),"5.0 out of 5 stars
Nice",5.0,"Awesome product but gets dirt easily
Read more"
Feel it Comfortable Leatherite Casual/Formal Ballerina for Women's & Girl's - (1104-P),"5.0 out of 5 stars
Like it",5.0,"Very nice and comfortable
Read more"
Feel it Comfortable Leatherite Casual/Formal Ballerina for Women's & Girl's - (1104-P),"3.0 out of 5 stars
Good",3.0,"Fitting well
Read more"
Feel it Comfortable Leatherite Casual/Formal Ballerina for Women's & Girl's - (1104-P),"4.0 out of 5 stars
Worth buying.Go for it.",4.0,"It is both comfortable and stylish. The embellishments go off quickly. Producy quality is  good. Satisfied with the purchase.
Read more"
FASHIMO Bellies for Women's and Girls 708-P,"5.0 out of 5 stars
Good quality",5.0,"Awesome
Read more"
FASHIMO Bellies for Women's and Girls 708-P,"3.0 out of 5 stars
Size issue",3.0,"Take ur size+1.... My size is 39 but itz somewhat tight..... Quality is fine and gives perfect formal look....After a month, its sole got hardened .... V uncomfortable to wear now.... Probably itz soles are not that much efficient in bearing pressure while walking
Read more"
FLITE Womens Fl0703l Ballet Flats,"5.0 out of 5 stars
Great Buy",5.0,"Best Buy
Read more"
FLITE Womens Fl0703l Ballet Flats,"4.0 out of 5 stars
Perfect",4.0,"A bit loose but it is comfortable,value for money
Read more"
FLITE Womens Fl0703l Ballet Flats,"5.0 out of 5 stars
Go for it",5.0,"Good one !
Read more"
FLITE Womens Fl0703l Ballet Flats,"3.0 out of 5 stars
good for daily use",3.0,"it's amazing and kind of durable ... using it since last 1 month....just sole is way too thin but overall good.
Read more"
FLITE Womens Fl0703l Ballet Flats,"4.0 out of 5 stars
Good quality",4.0,"I just loved it,, it was very comfortable
Read more"
FLITE Womens Fl0703l Ballet Flats,"4.0 out of 5 stars
Good",4.0,"a tough elastic/rubber made
Read more"
FLITE Womens Fl0703l Ballet Flats,"5.0 out of 5 stars
Value for money.",5.0,Read more
Shezone Beige Colour Synthetic Material Bellies for Women::4713_Beige,"2.0 out of 5 stars
Sole quality is poor",2.0,"Look wise amazing and chic. But very uncomfortable, also sole quality is very cheap. Made of plastic and that's why slips at plain floor, makes noise while walking. Not worthy.
Read more"
North Star Women's Emmie Ballet Flats,"5.0 out of 5 stars
Very good quality...veey comfortable...Excellent 👌",5.0,"Regular wearing...for long hours...very comfortable
Read more"
North Star Women's Emmie Ballet Flats,"4.0 out of 5 stars
Best everyday wear",4.0,"Fits well. Always lives upto my expectations. Thanks Amazon for the fast delivery even in this lockdown.
Read more"
North Star Women's Emmie Ballet Flats,"3.0 out of 5 stars
Om",3.0,"It runs smaller
Read more"
North Star Women's Emmie Ballet Flats,"1.0 out of 5 stars
Not comfortable",1.0,"Size issue and they are heavy
Read more"
