product,title,rating,body
Puma Mens Cliff Idp Low Boot,"5.0 out of 5 stars
Good",5.0,"Very good
Read more"
Puma Mens Cliff Idp Low Boot,"4.0 out of 5 stars
Quality look great",4.0,"All over good ..... worth it
Read more"
Puma Mens Cliff Idp Low Boot,"5.0 out of 5 stars
Gud quality",5.0,"Beat in this price range
Read more"
Puma Mens Cliff Idp Low Boot,"4.0 out of 5 stars
Good",4.0,"Comfort
Read more"
Puma Mens Cliff Idp Low Boot,"3.0 out of 5 stars
Good value",3.0,"Slightly tighter fit. Better to order a size higher if in doubt
Read more"
Puma Mens Cliff Idp Low Boot,"5.0 out of 5 stars
Very nice",5.0,"Absolutely amazing
Read more"
Puma Mens Cliff Idp Low Boot,"1.0 out of 5 stars
Packing is not good. Shoes quality is ok",1.0,"Zero star. Shoe packing box is not in proper manner. Same is found in torned condition.Shoes are light weight with single sole. Not useful for daily and on rough surface. You can walk on grass only.
Read more"
Puma Mens Cliff Idp Low Boot,"5.0 out of 5 stars
Puma School Shoes",5.0,"The product is very good at the outset. Yet to use it to find out the durability.
Read more"
crocs unisex-adult Bayaband Clog NAVY/PEPPER Clog - 9 UK Men/ 10 UK Women (M10W12) (205089-4CC),"5.0 out of 5 stars
Original product",5.0,"Good quality and original product
Read more"
crocs unisex-adult Bayaband Clog NAVY/PEPPER Clog - 9 UK Men/ 10 UK Women (M10W12) (205089-4CC),"4.0 out of 5 stars
Awesome",4.0,"Just go for this Crocs.But order one Size Bigger for Best Experience or else slightly tight
Read more"
crocs unisex-adult Bayaband Clog NAVY/PEPPER Clog - 9 UK Men/ 10 UK Women (M10W12) (205089-4CC),"5.0 out of 5 stars
Good fit",5.0,Read more
crocs unisex-adult Bayaband Clog NAVY/PEPPER Clog - 9 UK Men/ 10 UK Women (M10W12) (205089-4CC),"5.0 out of 5 stars
Comfortable to wear",5.0,"Comfortable
Read more"
crocs unisex-adult Bayaband Clog NAVY/PEPPER Clog - 9 UK Men/ 10 UK Women (M10W12) (205089-4CC),"5.0 out of 5 stars
Nice!",5.0,"Must buy it
Read more"
